Feature,Importance
peoe_VSA9,0.28936717
LabuteASA,0.28223124
kappa3,0.23703243
rdkit_1421,0.23643722
MQN20,0.22835802
Chi3n,0.19506846
smr_VSA1,0.19324893
slogp_VSA3,0.18404552
kappa1,0.17540573
peoe_VSA6,0.16979933
Chi2n,0.15462403
rdkit_2026,0.15414646
kappa2,0.15076275
peoe_VSA1,0.1504269
Chi2v,0.14850323
rdkit_1725,0.1397676
rdkit_1065,0.1394359
rdkit_1025,0.13586867
slogp_VSA6,0.13093868
rdkit_1017,0.1228624
SlogP,0.12177776
rdkit_680,0.1182342
rdkit_1242,0.11452689
rdkit_96,0.114267886
rdkit_827,0.113855414
rdkit_939,0.08774766
smr_VSA10,0.080364384
slogp_VSA2,0.07982372
MQN27,0.07371615
rdkit_481,0.07145899
peoe_VSA7,0.07144054
rdkit_563,0.06890396
AMW,0.068866804
FractionCSP3,0.06605493
rdkit_1994,0.06009666
rdkit_1657,0.059578665
rdkit_1738,0.05903561
Chi1v,0.05035927
NumHBA,0.048583217
rdkit_1866,0.045647033
MQN13,0.043722857
TPSA,0.043505665
NumLipinskiHBD,0.042695485
rdkit_840,0.04210989
Chi3v,0.03934885
rdkit_1549,0.03878644
rdkit_928,0.038603954
rdkit_740,0.038070437
rdkit_1051,0.03801498
Chi1n,0.03757342
rdkit_1285,0.03665925
rdkit_1446,0.03600131
peoe_VSA10,0.03505263
rdkit_1709,0.035039667
rdkit_1257,0.033970173
rdkit_144,0.033245888
rdkit_409,0.0314887
rdkit_1276,0.030985676
rdkit_1808,0.03073902
rdkit_1088,0.029772269
rdkit_431,0.029551413
rdkit_1599,0.028900154
rdkit_1517,0.02792766
rdkit_1589,0.026145963
rdkit_987,0.02591285
rdkit_1908,0.025305113
rdkit_97,0.025159936
rdkit_921,0.025075233
peoe_VSA5,0.024714326
rdkit_1230,0.0244893
rdkit_2044,0.021571377
rdkit_1278,0.021030216
rdkit_1343,0.018233012
rdkit_870,0.015615898
rdkit_1475,0.015588662
SMR,0.0
ExactMW,0.0
NumLipinskiHBA,0.0
NumRotatableBonds,0.0
NumHBD,0.0
NumAmideBonds,0.0
NumHeteroAtoms,0.0
NumHeavyAtoms,0.0
NumAtoms,0.0
NumStereocenters,0.0
NumUnspecifiedStereocenters,0.0
NumRings,0.0
NumAromaticRings,0.0
NumSaturatedRings,0.0
NumAliphaticRings,0.0
NumAromaticHeterocycles,0.0
NumSaturatedHeterocycles,0.0
NumAliphaticHeterocycles,0.0
NumAromaticCarbocycles,0.0
NumSaturatedCarbocycles,0.0
NumAliphaticCarbocycles,0.0
Chi0v,0.0
Chi4v,0.0
Chi4n,0.0
HallKierAlpha,0.0
slogp_VSA1,0.0
slogp_VSA4,0.0
slogp_VSA5,0.0
slogp_VSA7,0.0
slogp_VSA8,0.0
slogp_VSA9,0.0
slogp_VSA10,0.0
slogp_VSA11,0.0
slogp_VSA12,0.0
smr_VSA2,0.0
smr_VSA3,0.0
smr_VSA4,0.0
smr_VSA5,0.0
smr_VSA6,0.0
smr_VSA7,0.0
smr_VSA8,0.0
smr_VSA9,0.0
peoe_VSA2,0.0
peoe_VSA3,0.0
peoe_VSA4,0.0
peoe_VSA8,0.0
peoe_VSA11,0.0
peoe_VSA12,0.0
peoe_VSA13,0.0
peoe_VSA14,0.0
MQN1,0.0
MQN2,0.0
MQN3,0.0
MQN4,0.0
MQN5,0.0
MQN6,0.0
MQN7,0.0
MQN8,0.0
MQN9,0.0
MQN10,0.0
MQN11,0.0
MQN12,0.0
MQN14,0.0
MQN15,0.0
MQN16,0.0
MQN17,0.0
MQN18,0.0
MQN19,0.0
MQN21,0.0
MQN22,0.0
MQN23,0.0
MQN24,0.0
MQN25,0.0
MQN26,0.0
MQN28,0.0
MQN29,0.0
MQN30,0.0
MQN31,0.0
MQN32,0.0
MQN33,0.0
MQN34,0.0
MQN35,0.0
MQN36,0.0
MQN37,0.0
MQN38,0.0
MQN39,0.0
MQN40,0.0
MQN41,0.0
MQN42,0.0
rdkit_1,0.0
rdkit_2,0.0
rdkit_3,0.0
rdkit_4,0.0
rdkit_5,0.0
rdkit_6,0.0
rdkit_7,0.0
rdkit_8,0.0
